,geo,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,image_id,point_id,timestamp
94,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,2021-10-24,20211024T104029_20211024T104024_T32UNE,0,1635072359526
95,,144,3597,2618,2176,2755,2765,2635,3102,3609,3768,3484,3911,5708,-9999,-9999,-9999,72,0,0,0,1024,9,247,247,244,1447,2021-10-26,20211026T103131_20211026T103127_T32UNE,0,1635244566526
96,,114,1704,2606,1990,1708,2001,1819,2436,3257,3518,3628,3636,6899,-9999,-9999,-9999,32,0,0,0,2048,8,174,204,185,1180,2021-10-31,20211031T103059_20211031T103059_T32UNE,0,1635676562741
97,,144,6252,2362,1443,5307,4823,4599,4926,4803,4679,4716,4563,8217,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,906,2021-11-05,20211105T103221_20211105T103434_T32UNE,0,1636108565141
98,,114,5157,2633,1742,4987,4306,3886,3903,3750,3790,3953,3718,3957,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1502,2021-11-10,20211110T103149_20211110T103152_T32UNE,0,1636540561263
99,,204,8812,5437,4179,7900,7667,7531,8453,8098,7873,7608,7760,7999,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,754,2021-11-15,20211115T103311_20211115T103310_T32UNE,0,1636972562553
100,,204,10868,3842,3691,9946,9808,9698,9905,9818,9692,9732,9664,13482,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,686,2021-11-18,20211118T104331_20211118T104326_T32UNE,0,1637232358053
101,,204,6116,4124,2802,6177,6110,6186,6343,6250,6269,6220,6241,6208,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,581,2021-11-20,20211120T103239_20211120T103234_T32UNE,0,1637404558796
102,,204,6028,2666,2007,5552,5396,5500,5739,5654,5612,5764,5662,5766,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,700,2021-11-25,20211125T103351_20211125T103350_T32UNE,0,1637836561516
103,,114,4753,2880,2575,3773,3662,3837,4217,4301,4425,4012,4504,9365,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,734,2021-11-30,20211130T103309_20211130T103307_T32UNE,0,1638268557000
104,,204,14533,9192,8352,12963,12371,12786,13518,13076,12790,13370,12663,15752,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,466,2021-12-05,20211205T103421_20211205T103430_T32UNE,0,1638700560709
105,,144,8092,4950,3923,7512,6430,6484,7023,6635,6355,6942,6117,15094,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1101,2021-12-10,20211210T103329_20211210T103329_T32UNE,0,1639132556099
106,,204,3924,3351,2714,4038,3886,3867,3986,4060,4041,4443,4100,3687,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,463,2021-12-15,20211215T103441_20211215T103436_T32UNE,0,1639564561415
107,,114,8515,5136,3957,7672,7027,7066,7491,7293,7132,7068,7055,9678,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1155,2021-12-18,20211218T104441_20211218T104443_T32UNE,0,1639824358435
108,,114,428,1419,797,562,711,553,1210,2389,2686,2820,2840,2659,0,0,0,1,0,-9999,-9999,0,4,58,73,57,990,2021-12-20,20211220T103339_20211220T103339_T32UNE,0,1639996555947
109,,204,9572,4211,4118,8893,8490,8615,8594,8637,8692,9103,8601,7477,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,54,2021-12-23,20211223T104349_20211223T104345_T32UNE,0,1640256352941
110,,120,6094,501,495,6766,6566,6987,7514,7537,7193,7548,7057,6798,0,0,1,0,84,-9999,-9999,0,11,255,255,255,575,2021-12-25,20211225T103441_20211225T103440_T32UNE,0,1640428562923
111,,120,3569,2723,2614,4482,4295,4333,4766,4819,4789,4386,4776,3534,-9999,-9999,-9999,88,0,0,0,1024,9,237,255,255,1398,2021-12-28,20211228T104441_20211228T104443_T32UNE,0,1640688359527
112,,204,7093,2661,2044,7069,6494,6323,6347,6104,6151,6223,6018,6639,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,965,2021-12-30,20211230T103339_20211230T103336_T32UNE,0,1640860557284
113,,204,11252,3435,3828,10913,9928,9757,9982,9757,9698,10317,9671,15821,-9999,-9999,-9999,6,26,0,0,1024,8,255,255,255,421,2022-01-02,20220102T104339_20220102T104336_T32UNE,0,1641120353890
114,,204,8374,3595,3365,7685,7042,7291,7564,7497,7436,7785,7440,8962,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,317,2022-01-04,20220104T103431_20220104T103430_T32UNE,0,1641292563149
115,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1024,-9999,-9999,-9999,-9999,-9999,2022-01-07,20220107T104431_20220107T104439_T32UNE,0,1641552359428
116,,204,7234,4597,3557,6870,6179,6612,6715,6710,6910,6801,6930,4459,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,398,2022-01-09,20220109T103319_20220109T103318_T32UNE,0,1641724557488
117,,132,8324,4901,3960,7473,6650,6554,6955,6667,6508,6497,6340,9134,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1306,2022-01-12,20220112T104319_20220112T104314_T32UNE,0,1641984353806
118,,204,5162,2645,1571,5376,4799,4585,4789,4614,4464,4673,4457,3962,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1367,2022-01-14,20220114T103401_20220114T103429_T32UNE,0,1642156562380
119,,204,75,865,669,139,287,322,578,872,932,960,1023,1141,-9999,-9999,-9999,4,0,0,0,0,2,15,30,33,901,2022-01-17,20220117T104401_20220117T104358_T32UNE,0,1642416358392
120,,204,9241,8253,7172,9634,9469,9950,10366,10204,10169,10692,10090,11607,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,654,2022-01-19,20220119T103249_20220119T103245_T32UNE,0,1642588556765
